id,author,title,publisher,year,pages,language,size,extension,link,download_links,filesize,isbn,doi,book_age,filesize_mb,language_code,is_recent,title_match_score,author_match_score,recency_score,popularity_score,quality_score,overall_score
1020148,Cay S. Horstmann,"Big Java Late Objects 1118087887, 9781118087886",Wiley,2012.0,,English,164 Mb,pdf,http://books.ms/main/6A52D1DDE3A219CFA39D548E31D0E6CE,"{'get': 'https://download.books.ms/main/1020000/6a52d1dde3a219cfa39d548e31d0e6ce/Cay%20S.%20Horstmann%20-%20Big%20Java%20Late%20Objects-Wiley%20%282012%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/1020148', 'ipfs_io': 'https://ipfs.io/ipfs/1020148', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/1020148', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/1020148'}",171966464,,,13.0,164.0,en,False,0.7333333333333333,0.0,0.32879593956289466,1.0,0.6499999999999999,0.5562129272896228
1053707,Cay S. Horstmann,"Big Java: Early Objects [5 ed.] 1118431111, 9781118431115",Wiley,2013.0,,English,142 Mb,pdf,http://books.ms/main/8C73F1FE99D3FE375FD3A1E86F9729CE,"{'get': 'https://download.books.ms/main/1053000/8c73f1fe99d3fe375fd3a1e86f9729ce/Cay%20S.%20Horstmann%20-%20Big%20Java_%20Early%20Objects-Wiley%20%282013%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/1053707', 'ipfs_io': 'https://ipfs.io/ipfs/1053707', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/1053707', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/1053707'}",148897792,,,12.0,142.0,en,False,0.7142857142857143,0.0,0.34764417421931626,0.8562091503267973,0.6499999999999999,0.5360996181688972
723846,Cay S. Horstmann,"Big Java: Compatible with Java 5, 6 and 7   [4 ed.] 0470509481, 9780470509487",Wiley,2009.0,1170.0,English,42 Mb,pdf,http://books.ms/main/05CDD7384FE0DCFE3394C4379B2E8A3D,"{'get': 'https://download.books.ms/main/723000/05cdd7384fe0dcfe3394c4379b2e8a3d/Cay%20S.%20Horstmann%20-%20Big%20Java_%20Compatible%20with%20Java%205%2C%206%20and%207%20%20-Wiley%20%282009%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/723846', 'ipfs_io': 'https://ipfs.io/ipfs/723846', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/723846', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/723846'}",44040192,,,16.0,42.0,en,False,0.7333333333333333,0.0,0.2794153127047222,0.20261437908496732,0.8999999999999999,0.5215363025123023
1315307,Dr. Danny Coward,"Java EE 7: The Big Picture 0071837345, 9780071837347",McGraw-Hill Osborne Media,2014.0,513.0,English,19 Mb,pdf,http://books.ms/main/A25FAE16B85F7B758AD27DDA0F21D5EE,"{'get': 'https://download.books.ms/main/1315000/a25fae16b85f7b758ad27dda0f21d5ee/Dr.%20Danny%20Coward%20-%20Java%20EE%207_%20The%20Big%20Picture-McGraw-Hill%20Osborne%20Media%20%282014%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/1315307', 'ipfs_io': 'https://ipfs.io/ipfs/1315307', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/1315307', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/1315307'}",19922944,,,11.0,19.0,en,False,0.7333333333333333,0.0,0.36800181851751357,0.05228758169934641,0.8999999999999999,0.5153622733550194
111356,Cay S. Horstmann,"Big Java [3 ed.] 0470105542, 9780470105542",Wiley,2007.0,1224.0,English,13 Mb,pdf,http://books.ms/main/A24717B30053A7427C4ADC64BDC6A7EB,"{'get': 'https://download.books.ms/main/111000/a24717b30053a7427c4adc64bdc6a7eb/Cay%20S.%20Horstmann%20-%20Big%20Java-Wiley%20%282007%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/111356', 'ipfs_io': 'https://ipfs.io/ipfs/111356', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/111356', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/111356'}",13631488,,,18.0,13.0,en,False,0.76,0.0,0.2511267654750331,0.013071895424836602,0.8999999999999999,0.510419866089987
786832,Cay S. Horstmann,"Big Java. Compatible with Java 5, 6 and 7, 4th Edition     [4 ed.] 0470509481, 9780470509487",Wiley,2009.0,1170.0,English,39 Mb,pdf,http://books.ms/main/33B2E48B7B66A71FB746FA8851B7B83E,"{'get': 'https://download.books.ms/main/786000/33b2e48b7b66a71fb746fa8851b7b83e/Cay%20S.%20Horstmann%20-%20Big%20Java.%20Compatible%20with%20Java%205%2C%206%20and%207%2C%204th%20Edition%20%20%20%20-Wiley%20%282009%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/786832', 'ipfs_io': 'https://ipfs.io/ipfs/786832', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/786832', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/786832'}",40894464,,,16.0,39.0,en,False,0.7,0.0,0.2794153127047222,0.1830065359477124,0.8999999999999999,0.5062421848652434
1021928,Cay S. Horstmann,"Big Java Late Objects 1118087887, 9781118087886",Wiley,2012.0,1236.0,English,26 Mb,djvu,http://books.ms/main/303D4E5AC94B815F5415F2B9811939D7,"{'get': 'https://download.books.ms/main/1021000/303d4e5ac94b815f5415f2b9811939d7/Cay%20S.%20Horstmann%20-%20Big%20Java%20Late%20Objects-Wiley%20%282012%29.djvu""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/1021928', 'ipfs_io': 'https://ipfs.io/ipfs/1021928', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/1021928', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/1021928'}",27262976,,,13.0,26.0,en,False,0.7333333333333333,0.0,0.32879593956289466,0.09803921568627451,0.85,0.5060168488582503
3785994,Cay S. Horstmann,"Big Java Late Objects, 2nd Edition 9781119321071",Wiley,2016.0,,English,30 Mb,pdf,http://books.ms/main/4C3B965CDDA90761073A007CBFF9B7E0,"{'get': 'https://download.books.ms/main/3785000/4c3b965cdda90761073a007cbff9b7e0/Cay%20S.%20Horstmann%20-%20Big%20Java%20Late%20Objects%2C%202nd%20Edition-Wiley%20%282016%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/3785994', 'ipfs_io': 'https://ipfs.io/ipfs/3785994', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/3785994', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/3785994'}",31457280,,,9.0,30.0,en,False,0.7142857142857143,0.0,0.4143725312155804,0.12418300653594772,0.5999999999999999,0.4595698394894386
1549025,Cay S. Horstmann,"Big Java: Early Objects [6 ed.] 1119056446, 9781119056447",Wiley,2016.0,,English,29 Mb,pdf,http://books.ms/main/FEB3C026F0C4D2E262202D4654F1EA61,"{'get': 'https://download.books.ms/main/1549000/feb3c026f0c4d2e262202d4654f1ea61/Cay%20S.%20Horstmann%20-%20Big%20Java_%20Early%20Objects-Wiley%20%282016%29.pdf""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/1549025', 'ipfs_io': 'https://ipfs.io/ipfs/1549025', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/1549025', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/1549025'}",30408704,,,9.0,29.0,en,False,0.7142857142857143,0.0,0.4143725312155804,0.11764705882352941,0.5999999999999999,0.45891624471819675
2661682,"Hubbard, John R","Java data analysis: data mining, big data analysis, NoSQL, and data visualization 9781787285651, 1787285650, 0130933740, 0321349806, 013600637X",Packt Publishing,2017.0,,English,19 Mb,epub,http://books.ms/main/3240C8AF21BF02D90484D44847C8E030,"{'get': 'https://download.books.ms/main/2661000/3240c8af21bf02d90484d44847c8e030/Hubbard%2C%20John%20R%20-%20Java%20data%20analysis_%20data%20mining%2C%20big%20data%20analysis%2C%20NoSQL%2C%20and%20data%20visualization-Packt%20Publishing%20%282017%29.epub""', 'ipfs_cloudflare': 'https://cloudflare-ipfs.com/ipfs/2661682', 'ipfs_io': 'https://ipfs.io/ipfs/2661682', 'ipfs_pinata': 'https://gateway.pinata.cloud/ipfs/2661682', 'tor_mirror': 'http://libgenfrialc7tguyjywa36vtrdcplxydrxnm3f6zjbwxprqsycqad.onion/main/2661682'}",19922944,,,8.0,19.0,en,False,0.6666666666666666,0.0,0.4411693745905556,0.05228758169934641,0.6499999999999999,0.4460123622956569
